period,correlation
2020-10-13,0.10598955536676341
2020-10-14,0.46913224507952905
2020-10-15,0.11291003916770126
2020-10-16,-0.265265166666262
2020-10-17,-0.04318316997439734
2020-10-18,0.04712371020133903
2020-10-19,0.3008814441001794
2020-10-20,0.18453429796847604
2020-10-21,-0.020285360570001507
2020-10-22,0.3168915316511768
2020-10-23,0.3204951896723838
2020-10-24,-0.048640641430590964
2020-10-25,-0.2485882918551562
2020-10-26,-0.08596105314642322
2020-10-27,0.3720893405340877
2020-10-28,-0.9625337424477611
2020-10-29,0.2794786930907003
2020-10-30,0.40981481540232695
2020-10-31,0.3341433497761339
2020-11-01,-0.06938527410948249
2020-11-02,0.3138716932354918
2020-11-03,-0.33501338680872816
2020-11-04,0.3208690705728755
2020-11-05,0.20744987352545538
2020-11-06,0.3364918264649924
2020-11-07,0.26071762478668165
2020-11-08,-0.08353955782491004
2020-11-09,-0.03424691115602055
2020-11-10,-0.11400935809844552
2020-11-11,-0.4153757248910756
2020-11-12,0.12576940033713527
2020-11-13,0.14263489767727414
2020-11-14,0.6107507166055268
2020-11-15,0.7451290437953725
2020-11-16,0.6927399932284439
2020-11-17,-0.3213798089013032
2020-11-18,-0.33169957800861827
2020-11-19,-0.21148248888152338
2020-11-20,-0.31104901865686
2020-11-21,0.07182355291432468
2020-11-22,0.07808975994120196
2020-11-23,-0.550334570387218
2020-11-24,0.7124656455066176
2020-11-25,-0.663371785998522
2020-11-26,0.3399219218298085
2020-11-27,0.24508225685092208
2020-11-28,0.05164142163262853
2020-11-29,0.4684461894214293
2020-11-30,-0.13229508614018298
2020-12-01,0.2608066169768666
2020-12-02,-0.2943253725883372
2020-12-03,0.5069734264678745
2020-12-04,0.19029941554765695
2020-12-05,0.19030850769451238
2020-12-06,0.20929234069452146
2020-12-07,0.2732262147621759
2020-12-08,0.26418250332367266
2020-12-09,-0.3291844836324354
2020-12-10,-0.10657503669680576
2020-12-11,-0.40528970438660394
2020-12-12,-0.35394488417813275
2020-12-13,-0.12432369812870189
2020-12-14,0.23571590223200484
2020-12-15,-0.18177138342537774
2020-12-16,-0.5722765203393133
2020-12-17,0.13495071363564132
2020-12-18,-0.08926931662840033
2020-12-19,0.17234829763265774
2020-12-20,0.3606738553707557
2020-12-21,0.2124167174775936
2020-12-22,0.3966705509392131
2020-12-23,0.04152916215144445
2020-12-24,0.1297182800609673
2020-12-25,-0.2890216524635187
2020-12-26,0.4582337071090587
2020-12-27,0.6876035069297325
2020-12-28,0.21438567299778316
2020-12-29,0.24109667751630245
2020-12-30,0.17227364209851093
